step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
352,490096,704,0.005537537508669672,1.0,1.0
353,491410,706,0.01446966545949367,0.5,0.9981412639405205
354,492676,708,0.006140076013138777,1.0,1.0
355,494422,710,0.007067943751389868,1.0,1.0
356,495752,712,0.008839475669749615,1.0,1.0
357,497434,714,0.006811402135400914,1.0,1.0
358,498140,716,0.010701789956750645,1.0,1.0
359,499390,718,0.00683285622506632,1.0,1.0
360,500736,720,0.009437810120106553,1.0,1.0
361,501730,722,0.008346585245979603,1.0,1.0
362,502820,724,0.008731369532310145,1.0,1.0
363,503574,726,0.010631513376494841,1.0,1.0
364,504456,728,0.007502307605344924,1.0,1.0
365,506282,730,0.007157619150228502,1.0,1.0
366,507260,732,0.010048056061605939,1.0,1.0
367,508990,734,0.004842410280737264,1.0,1.0
368,510336,736,0.006961000648269416,1.0,1.0
369,511890,738,0.010167369848916466,1.0,1.0
370,513028,740,0.008575053510998857,1.0,1.0
371,514630,742,0.008695370669780187,0.5,0.9987080103359173
372,515816,744,0.005396912448499359,1.0,1.0
373,518122,746,0.005635660074135438,1.0,1.0
374,519388,748,0.00854724051750694,1.0,1.0
375,520958,750,0.006721192826954058,1.0,1.0
376,522432,752,0.00889374541573964,1.0,1.0
377,524242,754,0.008446531075145987,0.5,0.9986263736263736
378,526100,756,0.005348864310292236,1.0,1.0
379,527110,758,0.00634928554952683,1.0,1.0
380,528456,760,0.007023535328066587,1.0,1.0
381,529882,762,0.005669299070011808,1.0,1.0
382,531292,764,0.0069729328806239325,1.0,1.0
383,533182,766,0.0061514189032620525,1.0,1.0
384,534448,768,0.006657949410637139,1.0,1.0
385,535442,770,0.009242417992851608,1.0,1.0
386,537076,772,0.007480606021972714,1.0,1.0
387,539158,774,0.007210399589866765,0.5,0.9988399071925754
388,541112,776,0.006124103083160476,1.0,1.0
389,542074,778,0.008744528179847975,1.0,1.0
390,544012,780,0.007954213050061698,1.0,1.0
391,544526,782,0.009964118005595855,1.0,1.0
392,545296,784,0.010902187457919724,1.0,1.0
393,546434,786,0.009593108895961867,1.0,1.0
394,548340,788,0.0043826218593892045,1.0,1.0
395,549526,790,0.007589341627409329,1.0,1.0
396,550712,792,0.01016053474363631,1.0,1.0
397,551738,794,0.01055633154169772,1.0,1.0
398,553836,796,0.006330889287030439,1.0,1.0
399,555262,798,0.006419216684504306,1.0,1.0
400,556832,800,0.009127933657910883,1.0,1.0
401,558354,802,0.0074737443033367395,1.0,1.0
402,560548,804,0.0052550868028842,1.0,1.0
403,561846,806,0.007145265517765329,1.0,1.0
404,563144,808,0.007844826137510275,1.0,1.0
405,564474,810,0.006085072688706808,1.0,1.0
406,565292,812,0.012288357883370255,1.0,1.0
407,567326,814,0.005253503202611555,1.0,1.0
408,568544,816,0.008850886862262259,1.0,1.0
409,569858,818,0.007135029538753426,1.0,1.0
410,571284,820,0.007542518352283214,1.0,1.0
411,572566,822,0.010241698918701986,1.0,1.0
412,574184,824,0.0050158506550467595,1.0,1.0
413,575130,826,0.00842671365435821,1.0,1.0
414,576076,828,0.007005584008023587,1.0,1.0
415,577790,830,0.0078183817575924,1.0,1.0
416,578896,832,0.010218421100613996,1.0,1.0
417,580050,834,0.008998533137827003,1.0,1.0
418,581172,836,0.007850257117731482,1.0,1.0
419,582870,838,0.007910186185620649,1.0,1.0
420,584200,840,0.008606738635494118,1.0,1.0
421,585690,842,0.006718844419736469,1.0,1.0
422,587372,844,0.005626189451242983,1.0,1.0
423,588718,846,0.005258072710074032,1.0,1.0
424,589648,848,0.007693641222586469,1.0,1.0
425,590930,850,0.00916051258418837,1.0,1.0
426,591892,852,0.011697395253093202,1.0,1.0
427,593302,854,0.006552227593862877,1.0,1.0
428,594296,856,0.008880406956138516,1.0,1.0
429,595866,858,0.014881760456314676,0.5,0.9983948635634029
430,597260,860,0.005790368772887841,1.0,1.0
431,599166,862,0.005278385018895216,1.0,1.0
432,600352,864,0.007244074153665709,1.0,1.0
433,600946,866,0.013963770683644768,1.0,1.0
434,602660,868,0.007673411633119872,1.0,1.0
435,604342,870,0.00788771598740631,1.0,1.0
436,605816,872,0.011090564636756372,0.5,0.998422712933754
437,606762,874,0.010155631150443338,1.0,1.0
438,608572,876,0.012385456916206801,0.5,0.9987849331713244
439,609662,878,0.006667144578877081,1.0,1.0
440,610784,880,0.012855731506673468,0.0,0.9951807228915662
441,612130,882,0.006305018430764013,1.0,1.0
442,612948,884,0.007144493633649085,1.0,1.0
443,613990,886,0.006227778344559667,1.0,1.0
444,614920,888,0.005741434888394335,1.0,1.0
445,616522,890,0.013464019611908722,0.5,0.9983974358974359
446,618268,892,0.008265203939801695,0.5,0.998719590268886
447,619838,894,0.006300517028657453,1.0,1.0
448,621424,896,0.007982655418627213,1.0,1.0
449,622274,898,0.005971267538570187,1.0,1.0
450,623764,900,0.006060334285934452,1.0,1.0
451,625318,902,0.008623119260227094,1.0,1.0
452,627544,904,0.004644376777586863,1.0,1.0
453,628282,906,0.014616596884646393,1.0,1.0
454,629580,908,0.008392157939003508,0.5,0.9982993197278912
455,630542,910,0.01235132472751557,1.0,1.0
456,632784,912,0.006512969610634231,1.0,1.0
457,634402,914,0.00884301745426762,1.0,1.0
458,636356,916,0.006014116027940258,1.0,1.0
459,637142,918,0.013305820773707929,1.0,1.0
460,638408,920,0.007432085917641853,1.0,1.0
461,639066,922,0.010930778009571594,1.0,1.0
462,640140,924,0.006656812873228678,1.0,1.0
463,640990,926,0.010681284278918905,1.0,1.0
464,642576,928,0.007119820112241824,1.0,1.0
465,643714,930,0.005660108304403319,1.0,1.0
466,645588,932,0.007488796478774173,1.0,1.0
467,646294,934,0.00960537067662668,1.0,1.0
468,647768,936,0.007775856884192165,1.0,1.0
469,649306,938,0.015687214011943177,0.5,0.9986648865153538
470,650396,940,0.00742602034719768,1.0,1.0
471,651726,942,0.010480550622007702,1.0,1.0
472,653824,944,0.0057209329822807305,1.0,1.0
473,655554,946,0.005456446457469662,1.0,1.0
474,656740,948,0.007260386351753994,1.0,1.0
475,657590,950,0.007122003782062093,1.0,1.0
476,658648,952,0.008740414819825548,1.0,1.0
477,660538,954,0.006606660934503338,1.0,1.0
478,663036,956,0.00620371130084666,1.0,1.0
479,664574,958,0.0067544213695899255,0.5,0.9985119047619048
480,665328,960,0.013975577478725694,1.0,1.0
481,666578,962,0.018488103014933657,0.5,0.9983948635634029
482,668196,964,0.007680171304212022,1.0,1.0
483,669990,966,0.00806023114111244,0.5,0.9985029940119761
484,671992,968,0.007086517951360066,1.0,1.0
485,673274,970,0.007882623787400112,1.0,1.0
486,674492,972,0.008525963619571385,1.0,1.0
487,675454,974,0.009649588295410332,1.0,1.0
488,676704,976,0.009174320203855599,1.0,1.0
489,678594,978,0.005456321162810109,1.0,1.0
490,679396,980,0.0110345279392588,1.0,1.0
491,680742,982,0.013544033006110037,0.5,0.9985007496251874
492,682104,984,0.008308038402662907,1.0,1.0
493,683674,986,0.005112258682081024,1.0,1.0
494,684908,988,0.00783016674566815,1.0,1.0
495,686110,990,0.006974328649146113,0.5,0.9978991596638656
496,687520,992,0.0068348383844629955,1.0,1.0
497,689090,994,0.007099714372356477,1.0,1.0
498,690884,996,0.005833667249089196,1.0,1.0
499,691574,998,0.009759988506025413,1.0,1.0
500,693176,1000,0.007454743843471414,1.0,1.0
501,694522,1002,0.00819948177050602,1.0,1.0
502,695628,1004,0.006864547833917402,1.0,1.0
503,697246,1006,0.0057656995199835215,0.5,0.9981412639405205
